16:48:08:828321: ,0:00:01.633150,Inicializando el sensor: DHT11 
16:48:08:882177: ,0:00:00.053856,Lectura de humedad y temperatura y postprocesado 
16:48:08:898135: ,0:00:00.015958,Daniel Velasco 
16:48:08:899133: ,0:00:00.000998, 
16:48:08:991883: ,0:00:00.092750,Numero medida,Humedad (%),Temperatura (\xc2\xbaC),Punto de rocio (\xc2\xbaC),Sensacion termica (\xc2\xbaC) 
17:11:53:050241: ,0:00:06.049433,235,42.00,25.40,11.58,25.09
17:11:59:103627: ,0:00:06.053386,236,42.00,25.40,11.58,25.09
17:12:05:153055: ,0:00:06.049428,237,42.00,25.40,11.58,25.09
17:12:11:206947: ,0:00:06.053892,238,42.00,25.40,11.58,25.09
17:12:17:255865: ,0:00:06.048918,239,42.00,25.40,11.58,25.09
17:12:23:309761: ,0:00:06.053896,240,42.00,25.40,11.58,25.09
17:12:29:359145: ,0:00:06.049384,241,42.00,25.40,11.58,25.09
17:12:35:412049: ,0:00:06.052904,242,42.00,25.40,11.58,25.09
17:12:41:461464: ,0:00:06.049415,243,42.00,25.40,11.58,25.09
17:12:47:514846: ,0:00:06.053382,244,42.00,25.40,11.58,25.09
17:12:53:565260: ,0:00:06.050414,245,42.00,25.40,11.58,25.09
17:12:59:618157: ,0:00:06.052897,246,42.00,25.40,11.58,25.09
17:13:05:668072: ,0:00:06.049915,247,42.00,25.40,11.58,25.09
17:13:11:721475: ,0:00:06.053403,248,42.00,25.40,11.58,25.09
17:13:17:770850: ,0:00:06.049375,249,42.00,25.40,11.58,25.09
17:13:23:823786: ,0:00:06.052936,250,42.00,25.50,11.67,25.20
17:13:29:873679: ,0:00:06.049893,251,42.00,25.50,11.67,25.20
17:13:35:926575: ,0:00:06.052896,252,42.00,25.50,11.67,25.20
17:13:41:976503: ,0:00:06.049928,253,42.00,25.50,11.67,25.20
17:13:48:026396: ,0:00:06.049893,254,42.00,25.50,11.67,25.20
17:13:54:079798: ,0:00:06.053402,255,42.00,25.50,11.67,25.20
17:14:00:128713: ,0:00:06.048915,256,42.00,25.50,11.67,25.20
17:14:06:182107: ,0:00:06.053394,257,42.00,25.50,11.67,25.20
17:14:12:232014: ,0:00:06.049907,258,42.00,25.50,11.67,25.20
17:14:18:285406: ,0:00:06.053392,259,42.00,25.50,11.67,25.20
17:14:24:334817: ,0:00:06.049411,260,42.00,25.50,11.67,25.20
17:14:30:387718: ,0:00:06.052901,261,42.00,25.50,11.67,25.20
17:14:36:438139: ,0:00:06.050421,262,42.00,25.50,11.67,25.20
17:14:42:491039: ,0:00:06.052900,263,42.00,25.50,11.67,25.20
17:14:48:540415: ,0:00:06.049376,264,42.00,25.50,11.67,25.20
17:14:54:593840: ,0:00:06.053425,265,42.00,25.50,11.67,25.20
17:15:00:643258: ,0:00:06.049418,266,42.00,25.50,11.67,25.20
17:15:06:697129: ,0:00:06.053871,267,42.00,25.50,11.67,25.20
17:15:12:746513: ,0:00:06.049384,268,42.00,25.50,11.67,25.20
17:15:18:799900: ,0:00:06.053387,269,42.00,25.50,11.67,25.20
17:15:24:848798: ,0:00:06.048898,270,42.00,25.50,11.67,25.20
17:15:30:902710: ,0:00:06.053912,271,42.00,25.50,11.67,25.20
17:15:36:952110: ,0:00:06.049400,272,42.00,25.50,11.67,25.20
17:15:43:002036: ,0:00:06.049926,273,42.00,25.50,11.67,25.20
17:15:49:054943: ,0:00:06.052907,274,42.00,25.50,11.67,25.20
17:15:55:104346: ,0:00:06.049403,275,42.00,25.50,11.67,25.20
17:16:01:158394: ,0:00:06.054048,276,42.00,25.50,11.67,25.20
17:16:07:207804: ,0:00:06.049410,277,42.00,25.50,11.67,25.20
17:16:13:260707: ,0:00:06.052903,278,42.00,25.50,11.67,25.20
17:16:19:310608: ,0:00:06.049901,279,42.00,25.50,11.67,25.20
17:16:25:364008: ,0:00:06.053400,280,42.00,25.50,11.67,25.20
17:16:31:413412: ,0:00:06.049404,281,42.00,25.50,11.67,25.20
17:16:37:467290: ,0:00:06.053878,282,42.00,25.50,11.67,25.20
17:16:43:516233: ,0:00:06.048943,283,42.00,25.50,11.67,25.20
17:16:49:570147: ,0:00:06.053914,284,42.00,25.50,11.67,25.20
17:16:55:619074: ,0:00:06.048927,285,42.00,25.50,11.67,25.20
17:17:01:672997: ,0:00:06.053923,286,42.00,25.50,11.67,25.20
17:17:07:721918: ,0:00:06.048921,287,42.00,25.50,11.67,25.20
17:17:13:775850: ,0:00:06.053932,288,42.00,25.50,11.67,25.20
17:17:19:824857: ,0:00:06.049007,289,42.00,25.50,11.67,25.20
17:17:25:878282: ,0:00:06.053425,290,42.00,25.50,11.67,25.20
17:17:31:928227: ,0:00:06.049945,291,42.00,25.50,11.67,25.20
17:17:37:977267: ,0:00:06.049040,292,42.00,25.50,11.67,25.20
17:17:44:030663: ,0:00:06.053396,293,42.00,25.50,11.67,25.20
17:17:50:080610: ,0:00:06.049947,294,42.00,25.50,11.67,25.20
21:53:39:545640: ,0:00:01.023261,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x0
21:53:40:139052: ,0:00:00.593412,Inicializando el sensor: DHT11 
21:53:40:191910: ,0:00:00.052858,Lectura de humedad y temperatura y postprocesado 
21:53:40:208865: ,0:00:00.016955,Daniel Velasco 
21:53:40:212855: ,0:00:00.003990, 
21:53:40:302614: ,0:00:00.089759,Numero medida,Humedad (%),Temperatura (\xc2\xbaC),Punto de rocio (\xc2\xbaC),Sensacion termica (\xc2\xbaC) 
21:53:42:293287: ,0:00:01.990673,0,49.00,26.00,14.48,25.93
21:53:48:343098: ,0:00:06.049811,1,49.00,26.00,14.48,25.93
21:53:54:395901: ,0:00:06.052803,2,49.00,26.00,14.48,25.93
